"Country","Ecoregion","Species","Km","Count","Encounters_(<=500m)","Group_sizeXdistance_cor_test_p","DS_cutpoints","Detection_probability","Detection_function","GoF_DS_Xsq","N_(count/p)","D_(N/Km)","Group_size_beta"
"Colombia","Sinu Valley dry forests","Eupsittula pertinax",320.5,384,67,0.09,"25m",0.17,"half-normal key function",0.00224511234281266,2258.82,7.05,"-"
"Costa Rica","Central American dry forests","Amazona albifrons",440,142,61,0.61,"50m",0.16,"half-normal key function with cosine(2,3,4) adjustments",0.0228191864870145,887.5,2.02,"-"
"Costa Rica","Central American dry forests","Amazona auropalliata",440,18,11,0.44,"100m",0.21,"half-normal key function",0.946873921225075,85.71,0.19,"-"
"Costa Rica","Central American dry forests","Brotogeris jugularis",440,201,32,0.97,"50m",0.12,"half-normal key function",0.99999909661481,1675,3.81,"-"
"Costa Rica","Central American dry forests","Eupsittula canicularis",440,346,86,0.61,"100m",0.13,"half-normal key function",0.999602600547002,2661.54,6.05,"-"
"Costa Rica","Costa Rican seasonal moist forests","Amazona albifrons",336.1,74,12,0.57,"50m",0.1,"half-normal key function",0.999981750935635,740,2.2,"-"
"Costa Rica","Costa Rican seasonal moist forests","Brotogeris jugularis",336.1,93,28,0.51,"50m",0.08,"half-normal key function",0.999999743844957,1162.5,3.46,"-"
"Costa Rica","Costa Rican seasonal moist forests","Eupsittula canicularis",336.1,59,20,0.25,"50m",0.09,"half-normal key function",0.999999867642813,655.56,1.95,"-"
"Costa Rica","Isthmian-Atlantic moist forests","Amazona autumnalis",682.1,153,60,0.07,"50m",0.27,"half-normal key function with cosine(2,3) adjustments",0.65217038388533,566.67,0.83,"-"
"Costa Rica","Isthmian-Atlantic moist forests","Amazona guatemalae",682.1,27,11,0.29,"50m",0.33,"half-normal key function",0.623993076658654,81.82,0.12,"-"
"Costa Rica","Isthmian-Atlantic moist forests","Brotogeris jugularis",682.1,199,57,0.48,"50m",0.19,"half-normal key function",0.00406613121354005,1047.37,1.54,"-"
"Costa Rica","Isthmian-Atlantic moist forests","Eupsittula astec",682.1,137,40,0.84,"100m",0.14,"half-normal key function",0.999512995804816,978.57,1.43,"-"
"Costa Rica","Isthmian-Atlantic moist forests","Pionus menstruus",682.1,41,16,0.62,"25m",0.2,"half-normal key function",0.99923094643486,205,0.3,"-"
"Costa Rica","Isthmian-Atlantic moist forests","Pionus senilis",682.1,72,22,0.08,"100m",0.27,"half-normal key function",0.835189947401401,266.67,0.39,"-"
